	NUMBER	ENGLISH	CHINESE	POS	STEDT_GLOSS	EVARS	CVARS	CONCEPTICON_ID	CONCEPTICON_GLOSS
304	304	tiger	老虎	n	tiger			846	TIGER
305	305	lion	狮子	n	lion				
306	306	dragon (water) (note:+water)	龙 ((水中的)~)	n	dragon||dragon (sky)||dragon (water)	dragon n||dragon (sky) (note:+sky) n	龙||龙 ((天上的)~)		
307	307	claw / talon	爪子	n	claw / talon||claw / talon (chicken's rear claws)	claw / talon (chicken's rear claws) (note:"chicken rear talons") n	爪子 ("鸡后爪")		
308	308	monkey	猴子	n	monkey				
309	309	elephant	象	n	elephant				
310	310	leopard / panther	豹子	n	leopard / panther				
311	311	bear	熊	n	bear				
312	312	boar (wild)	野猪	n	boar (wild)				
313	313	deer (female) (note:+male)	鹿 (公~)	n	deer (female)||deer (male)||deer	deer n||deer (male) (note:+female) n	鹿||鹿 (母~)		
314	314	muntjac / deer (barking)	麂子	n	muntjac / deer (barking) (yellow)||muntjac / deer (barking) (blue-green)||muntjac / deer (barking)	muntjac / deer (barking) (yellow) (note:+green) n||muntjac / deer (barking) (blue-green) (note:+yellow) n	麂子 (青~)||麂子 (黄~)		
315	315	deer (river) (male) (note:+female)	獐子 (母~)	n	deer (river) (female)||deer (river)||deer (river) (male)	deer (river) (female) (note:+male) n||deer (river) n	獐子 (公~)||獐子		
316	316	musk	麝香	n	musk				
317	317	otter	水獭	n	otter			15	OTTER
318	318	porcupine	豪猪	n	porcupine				
319	319	hedgehog	刺猬	n	hedgehog				
320	320	mouse	老鼠	n	mouse			2139	MUROID (MOUSE OR RAT)
321	321	squirrel	松鼠	n	squirrel				
322	322	weasel (yellow)	黄鼠狼	n	weasel (yellow)				
323	323	jackal	豺	n	jackal				
324	324	wolf	狼	n	wolf			522	WOLF
325	325	fox	狐狸	n	fox			1312	FOX
326	326	bird	鸟	n	bird			937	BIRD
327	327	nest (bird)	鸟窝	n	nest (bird)				
328	328	kite (black-eared) / hawk	老鹰	n	kite (black-eared) / hawk				
329	329	sparrow hawk	鹞子	n	sparrow hawk				
330	330	eagle / vulture	雕	n	eagle / vulture				
331	331	vulture (cinereous)	秃鹫	n	eagle, vulture||vulture (cinereous)				
332	332	owl	猫头鹰	n	owl				
333	333	swallow	燕子	n	swallow				
334	334	goose (wild)	大雁	n	goose (wild)				
335	335	crane	白鹤	n	crane||wild goose				
336	336	sparrow	麻雀	n	sparrow			1854	SPARROW
337	337	bat	蝙蝠	Nanim	bat				
338	338	magpie	喜鹊	n	magpie				
339	339	crow	乌鸦	n	crow||pheasant				
340	340	pheasant	野鸡	n	pheasant (short-tailed)||pheasant||pheasant (long-tailed)	pheasant (long-tailed) (note:+short-feathered) n||pheasant (short-tailed) (note:+long-feathered) n	野鸡 (短毛~)||野鸡 (长毛~)		
341	341	parrot	鹦鹉	n	parrot				
342	342	turtledove	斑鸠	n	turtledove				
343	343	woodpecker	啄木鸟	n	woodpecker				
344	344	cuckoo	布谷鸟	n	cuckoo				
345	345	peacock	孔雀	n	peacock				
346	346	tortoise	乌龟	n	peacock||tortoise				
347	347	snake	蛇	n	snake			730	SNAKE
348	348	lizard	四脚蛇	n	lizard				
349	349	frog	青蛙	n	frog			503	FROG
350	350	tadpole	蝌蚪	n	tadpole				
351	351	fish	鱼	n	fish			227	FISH
352	352	scale	鳞	Nbp	scale				
353	353	insect / worm (flying) (note:+flying)	虫 (飞~)	n	insect / worm||insect / worm (flying)||insect / worm (crawling)	insect / worm n||insect / worm (crawling) (note:+crawly) n	虫||虫 (爬~)		
354	354	bedbug	臭虫	n	bedbug				
355	355	flea	跳蚤	n	flea			232	FLEA
356	356	louse	虱	n	louse			1392	LOUSE
357	357	nit	虮子	n	nit			267	NIT
358	358	fly	苍蝇	Nanim	fly				
359	359	maggot (meat) (note:+meat)	蛆 (肉~)	n	maggot (dung)||maggot (meat)||maggot	maggot n||maggot (dung) (note:+dung) n	蛆||蛆 (粪~)		
360	360	mosquito (relatively small) (note:+larger)	蚊子 ((较大的)~)	n	mosquito||mosquito (relatively small)||mosquito (relatively large)	mosquito n||mosquito (relatively large) (note:+small) n	蚊子||蚊子 ((较小的)~)	1509	MOSQUITO
361	361	spider	蜘蛛	n	spider			843	SPIDER
362	362	centipede	蜈蚣	n	centipede				
363	363	earthworm	蚯蚓	n	earthworm			2350	EARTHWORM
364	364	leech	蚂蟥	n	leech||leech (water)||leech (mountain, arid area)	leech (mountain, arid area) (note:+water) n||leech (water) (note:+mountain | field) n	蚂蟥 ((水中的)~)||蚂蟥 ((山上或草地的)~)		
365	365	ant	蚂蚁	n	ant			587	ANT
366	366	silkworm	蚕	n	silkworm				
367	367	bee	蜜蜂	Nanim	bee				
368	368	locust	蝗虫(蚂蚱)	n	locust				
369	369	dragonfly	蜻蜓	n	dragonfly				
370	370	butterfly	蝴蝶	n	butterfly				
371	371	snail	蜗牛	n	snail				
372	372	tree	树	n	tree			906	TREE
373	373	trunk	树干	nveg	tree||trunk				
374	374	branch / twig	树枝	n	branch / twig			1531	BRANCH
375	375	root	根	nveg	root			670	ROOT
376	376	leaf	叶子	nveg	leaf			2250	LEAF (LEAFLIKE OBJECT)
377	377	flower	花	nveg	flower			239	FLOWER
378	378	fruit (lit. 'pear peach apricot') (note:"plum-peach-apricot")	水果 ("梨桃杏")	nveg	fruit||fruit (lit. 'pear peach apricot')	fruit nveg	水果	1507	FRUIT
379	379	pit / stone	核儿	n	pit / stone			857	STONE
380	380	sprout / shoot	柏树	nveg	sprout / shoot				
381	381	bud	蓓蕾	nveg	bud				
382	382	willow	柳树	nveg	willow				
383	383	poplar	杨树	nveg	poplar				
384	384	fir (China) (mid-elevation 'hanging' fir)	杉树 (吊杉(长于山*))	nveg	fir (China) (mid-elevation 'hanging' fir)||fir (China) (high-elevation spruce)||fir (China)	fir (China) nveg||fir (China) (high-elevation spruce) (note:+mountain) nveg	杉树||杉树 (白泡云杉(长于高山上))		
385	385	pine (said by youth) (note:+elderly{speech})	松树 ((老人语))	nveg	pine||pine (said by youth)||pine (said by elderly)	pine nveg||pine (said by elderly) (note:+younger{speech}) nveg	松树||松树 ((青年语))		
386	386	cypress (big)	芽儿	nveg	pine||cypress (small)||cypress||cypress (big)	cypress (small) nveg||cypress nveg	芽儿||芽儿		
387	387	resin / colophony (of a qiang1 pine tree) (note:+qiang_pine)	松香 ((椌松树上的)~)	nveg	resin / colophony (of a qiang1 pine tree)||resin / colophony	resin / colophony nveg	松香		
388	388	torches (pine)	松明	n	torches (pine)				
389	389	bamboo (thick, coarse) (note:+thick)	竹子 (粗~)	n	bamboo (thin, fine)||bamboo (thick, coarse)||bamboo	bamboo n||bamboo (thin, fine) (note:+thin) n	竹子||竹子 (细~)	1927	BAMBOO
390	390	cane / vine (tendrilled) (note:+bamboo)	藤子 (藤竹)	n	cane / vine (herba fibraureae recisae)||cane / vine (for making rattan chairs)||cane / vine (tendrilled)||cane / vine||cane / vine (black)||vine (melon)	vine (melon) (note:+yellow) n||cane / vine (for making rattan chairs) (note:+black) n||cane / vine n||cane / vine (black) (note:+rope) n||cane / vine (herba fibraureae recisae) (note:+melon) n	藤子 (黄藤)||藤子 (黑藤)||藤子||藤子 (藤绳)||藤子 (瓜藤)		
391	391	thorn / splinter	刺儿	n	thorn / splinter				
392	392	peach	桃子	n	peach				
393	393	pear (flat: Ch. 'bian3 li2') (note:+small +yellow)	梨 ((小黄)~)	n	pear (flat: Ch. 'bian3 li2')||pear||pear (small yellow)	pear (small yellow) (note:+flat) n||pear n	梨 ((扁)~)||梨		
394	394	tangerine	桔子	n	tangerine				
395	395	persimmon	柿子	n	persimmon (big)||persimmon||persimmon (small)||persimmon (dried)||persimmon (fresh)	persimmon (small) (note:+large) n||persimmon (fresh) (note:+fresh) n||persimmon (dried) (note:+preserved) n||persimmon (big) (note:+small) n	柿子 (大~)||柿子 (鲜~)||柿子 (柿饼子)||柿子 (小~)		
396	396	grape	葡萄	n	grape				
397	397	chestnut (Chinese)	板栗	n	chestnut (Chinese)				
398	398	banana (plantain)	芭蕉	n	banana (plantain)				
399	399	sugarcane	甘蔗	n	sugarcane				
400	400	walnut	核桃	n	walnut				
401	401	crops	庄稼	n	crops				
402	402	foodstuff / grain	粮食	n	foodstuff / grain				
403	403	rice (paddy)	水稻	n	rice (paddy)				
404	404	rice (glutinous)	糯米	n	rice (glutinous)				
405	405	seed	种子	n	seed			714	SEED
406	406	seedling (rice)	秧	n	seedling (rice)				
407	407	ear / spike	穗[?]	n	ear / spike				
408	408	straw (rice)	稻草	n	straw (rice)||straw (rice) (standing stalks)	straw (rice) (standing stalks) (note:+grain) n	稻草 (禾稻)		
409	409	rice (unhusked)	谷粒	n	rice (unhusked)				
410	410	wheat	小麦	n	wheat			1077	WHEAT
411	411	barley	大麦	n	barley			932	BARLEY
412	412	barley (highland)	青稞	n	barley (highland)				
413	413	buckwheat	荞麦	n	buckwheat (flower)||buckwheat||buckwheat (sweet)||buckwheat (tartary, hulless, duck wheat)	buckwheat (flower) (note:+flowery) n||buckwheat (tartary, hulless, duck wheat) (note:+bitter) n||buckwheat (sweet) (note:+sweet) n	荞麦 (花荞)||荞麦 (苦荞)||荞麦 (甜荞)		
414	414	straw (wheat)	麦秸	n	straw (wheat)				
415	415	awn of wheat	麦芒	n	awn of wheat				
416	416	maize / corn	玉米	n	maize / corn				
417	417	millet	小米	n	millet				
418	418	cotton	棉花	n	cotton				
419	419	hemp	麻	n	hemp				
420	420	vegetable	蔬菜	n	vegetable||vegetable (cooked)||vegetable (uncooked)	vegetable (cooked) (note:+uncooked) n||vegetable (uncooked) (note:+cooked) n	蔬菜 ((已炒的)~)||蔬菜 ((未炒的)~)		
421	421	radish	萝卜	n	radish				
422	422	pepper (hot) / chili	辣椒	n	pepper (hot) / chili				
423	423	onion / scallion	葱	n	onion / scallion				
424	424	garlic	蒜	n	garlic				
425	425	ginger	姜	n	ginger				
426	426	potato	马铃薯	n	potato				
427	427	melon / gourd	瓜	n	melon / gourd				
428	428	pumpkin	南瓜	n	pumpkin				
429	429	cucumber	黄瓜	n	cucumber				
430	430	pea / bean	豆	n	pea / bean				
431	431	soya bean	黄豆	n	soya bean				
432	432	bean (broad)	蚕豆	n	bean (broad)				
433	433	pea	豌豆	n	pea				
434	434	peanut	花生	n	peanut				
435	435	sesame	芝麻	n	sesame				
436	436	grass (not eaten by draught animals) (note:+small)	草 (小~)	n	grass (not eaten by draught animals)||grass (eaten by draught animals)||grass (long-stemmed)||grass (small)||grass	grass n||grass (eaten by draught animals) (note:+long-stemmed) n||grass (small) (note:+edible{livestock}) n||grass (long-stemmed) (note:+edible{livestock}) n	草||草 (长茎)||草 ((牲口不吃的)~)||草 ((牲口可吃的)~)	606	GRASS
437	437	mushroom	蘑菇	n	mushroom||mushroom (white)||mushroom (yellow)	mushroom (white) (note:+yellow) n||mushroom (yellow) (note:+white) n	蘑菇 (黄~)||蘑菇 (白~)		
438	438	fungus (edible) (lit. 'mouse's ear') (note:"old-person ear")	木耳 ("老人耳朵")	n	fungus (edible)||fungus (edible) (lit. 'old person's ear')||fungus (edible) (lit. 'mouse's ear')	fungus (edible) (lit. 'old person's ear') (note:"mouse ear") n||fungus (edible) n	木耳 ("老鼠耳朵")||木耳		
439	439	rice	米	n	rice			2026	RICE PLANT
440	440	meal (note:meal)	饭 ((早晚)~)	n	rice (cooked)||meal	rice (cooked) n	饭		
441	441	gruel / porridge	粥(稀饭)	n	gruel / porridge				
442	442	flour	面粉	n	flour				
443	443	meat	肉	n	meat			634	MEAT
444	444	meat (lean)	瘦肉	n	meat (lean)				
445	445	oil (animal) (lard)	脂肪油 (熟的大油)	n	oil (animal) (intestine)||oil (animal) (cooked lard)||oil (animal) (flead; leaf fat; leaf lard)||oil (animal)||oil (animal) (lard)	oil (animal) (cooked lard) (note:+pig) n||oil (animal) n||oil (animal) (flead; leaf fat; leaf lard) n||oil (animal) (intestine) (note:+leaf) n	脂肪油 (猪油)||脂肪油||脂肪油 (肠油)||脂肪油 (板油)		
446	446	oil (vegetable)	清油	n	oil (vegetable)				
447	447	butter	酥油(黄油)	n	butter||animal oil				
448	448	seed of Chinese prickly ash	花椒	n	seed of Chinese prickly ash				
449	449	sugar	糖	n	sugar (honey)||sugar (brown)||sugar	sugar (honey) (note:+crystal) n||sugar (brown) (note:+red) n	糖 (冰~)||糖 (红~)		
450	450	egg	蛋(鸡~)	n	egg			744	EGG
451	451	soup (vegetable) (note:+vegetable)	汤 (菜~)	n	soup||soup (vegetable)	soup n	汤		
452	452	alcoholic beverage (sorghum / maize) (note:+highland_barley)	酒 (青稞~)	n	alcoholic beverage (corn)||alcoholic beverage (highland barley)||alcoholic beverage (sorghum / maize)||alcoholic beverage||alcoholic beverage (yellow rice / millet / Shaoxing)	alcoholic beverage (highland barley) (note:+corn) n||alcoholic beverage (corn) (note:+white) n||alcoholic beverage n||alcoholic beverage (yellow rice / millet / Shaoxing) (note:+yellow) n	酒 (玉米~)||酒 (白~)||酒||酒 (黄~)		
453	453	water (boiled)	开水	n	water (boiled)				
454	454	tea	茶	n	tea				
455	455	cigarette / tobacco	烟(吸的~)	n	cigarette / tobacco				
456	456	medicine	药	n	medicine				
457	457	chaff / bran	糠	n	chaff / bran||chaff / bran (wheat)||chaff / bran (highland barley)	chaff / bran (highland barley) (note:+wheat) n||chaff / bran (wheat) (note:+highland_barley) n	糠 (麦~)||糠 (青稞~)		
458	458	wheat bran	麦麸	n	wheat bran				
459	459	feed (pig) / pigwash	猪食	n	feed (pig) / pigwash				
460	460	fodder / feed (horse)	马料	n	fodder / feed (horse)				
461	461	thread	线	n	cloth||thread (knitting wool)||thread	thread (knitting wool) (note:wool) n	线 (毛~)		
462	462	cloth	布	n	cloth				
463	463	silk thread (note:+thread)	丝 (~线)	n	silk||silk thread	silk n	丝		
464	464	fabric (silk)	绸子	n	fabric (silk)				
465	465	fabric (satin)	缎子	n	fabric (satin)				
466	466	cloth (woollen) (tweed native to area) (note:+homespun)	呢子 (本地粗呢)	n	cloth (woollen) (tweed native to area)||cloth (woollen)	cloth (woollen) n	呢子		
467	467	clothing / garment	衣服	n	clothing / garment				
468	468	collar	衣领	n	collar				
469	469	sleeve	衣袖	n	sleeve				
470	470	button	扣子	n	pants / trousers||button				
471	471	pants / trousers (female's) (note:+male)	裤子 (男裤)	n	pants / trousers||pants / trousers (female's)||pants / trousers (male's)	pants / trousers (male's) (note:+female) n||pants / trousers n	裤子 (女裤)||裤子		
472	472	apron (note:apron)	裙子 (围裙)	n	skirt (male's)||apron||skirt	skirt n||skirt (male's) (note:+male) n	裙子||裙子 (男裙)		
473	473	cloth (colorful, worn on the head)	头帕	n	cloth (colorful, worn on the head) (for women)||cloth (colorful, worn on the head)||skirt	cloth (colorful, worn on the head) (for women) (note:+female) n	头帕 ((女用)~)		
474	474	head-cloth / turban	包头	n	head-cloth / turban||head-cloth / turban (for men)	head-cloth / turban (for men) (note:+male) n	包头 ((男用)~)		
475	475	hat (men's) (note:+male)	帽子 (男帽)	n	hat||hat (men's)||hat (women's long-tubed hat)	hat n||hat (women's long-tubed hat) (note:+female) n	帽子||帽子 (女用长筒帽)		
476	476	belt / girdle (soft) (note:+hard)	腰带 ((硬的)~)	n	belt / girdle||belt / girdle (hard)||belt / girdle (soft)	belt / girdle n||belt / girdle (hard) (note:+soft) n	腰带||腰带 ((软的)~)		
477	477	puttee	裹腿	n	puttee				
478	478	sock / stocking	袜子	n	sock / stocking				
479	479	shoe	鞋	n	shoe				
480	480	boot	靴子	n	boot (made of 'pulu', Tibetan woolen fabric)||boot||shoe	boot (made of 'pulu', Tibetan woolen fabric) (note:+Tibetan_wool_fabric) n	靴子 ((氆氇)~)		
481	481	comb	梳子	n	comb				
482	482	treasured object / treasure	宝贝	n	treasured object / treasure				
483	483	coral	珊瑚	n	coral				
484	484	earrings (small) (note:+large)	耳环 (大~)	n	earrings (small)||earrings (male's)||earrings||earrings (female's)||earrings (big)	earrings (big) (note:+small) n||earrings (male's) n||earrings (note:+female) n||earrings (female's) (note:+male) n	耳环 (小~)||耳环||耳环 ((女用)~)||耳环 ((男用)~)		
485	485	necklace / necklet (male's) (note:+male)	项圈 ((男用)~)	n	necklace / necklet (male's)||necklace / necklet||necklace / necklet (female's)||necklace / necklet (chain)	necklace / necklet n||necklace / necklet (chain) (note:+female) n||necklace / necklet (female's) (note:necklace) n	项圈||项圈 ((女用)~)||项圈 (项链)		
486	486	ring	戒指	n	ring				
487	487	bracelet	手镯	n	bracelet				
488	488	blanket (felt)	毡子	n	blanket (felt)				
489	489	cloth (Tibetan, woollen)	氆氇	n	cloth (Tibetan, woollen)				
490	490	pillow	枕头	n	pillow				
491	491	mat (woven bamboo) (note:+straw)	席子 (草~)	n	mat (grass, straw)||mat (for drying things in the sun)||mat||mat (woven bamboo)	mat (grass, straw) (note:+bamboo) n||mat n||mat (for drying things in the sun) (note:+sunning) n	席子 (篾席)||席子||席子 (晒~)		
492	492	pad / cushion	垫子	n	pad / cushion				
493	493	cape (for rain, of straw or palm bark)	蓑衣	n	cape (for rain, of straw or palm bark)				
494	494	house	房子	n	house			1252	HOUSE
495	495	roof	房顶	n	roof				
496	496	eaves	房檐	n	eaves				
497	497	foundation	地基	n	foundation				
498	498	kitchen	厨房	n	kitchen				
499	499	building	楼房	n	building				
500	500	upstairs	楼上	n	upstairs||upstairs (second floor, where people live)	upstairs (second floor, where people live) (note:{?second floor, for people})	楼上 ((指二楼,住人的))		
501	501	downstairs	楼下	n	downstairs||downstairs (first floor, the draught animal pen)	downstairs (first floor, the draught animal pen) (note:{?first floor, for livestock})	楼下 ((指一楼,圈牲口的))		
502	502	warehouse / storehouse	仓库	n	warehouse / storehouse				
503	503	shed (cow) / fence (ox)	牛圈	n	shed (cow) / fence (ox)				
504	504	pigsty / pen (hog)	猪圈	n	pigsty / pen (hog)				
505	505	stable / fence (horse)	马圈	n	stable / fence (horse)				
506	506	sheepfold / pen (sheep)	羊圈	n	sheepfold / pen (sheep)				
507	507	pen (chicken)	鸡圈	n	pen (chicken)||shed (chicken)	shed (chicken) n	鸡圈 (鸡栅)		
508	508	brick	砖	n	brick				
509	509	tile	瓦	n	shingle||tile	shingle (note:+board) n	瓦 (木板~)		
510	510	wall (earthen, cob wall)	墙	n	wall (earthen, cob wall)||wall (stone)||wall	wall (stone) (note:+stone) n||wall (note:+earthen) n	墙 (石~)||墙 (土~)		
511	511	wood / log	木头	n	wood / log			1803	WOOD
512	512	plank / board (coffin) (note:+small)	木板 (小~)	n	plank / board (coffin)||plank / board (small)||plank / board	plank / board (small) n||plank / board n	木板 (棺~)||木板		
513	513	pillar / column	柱子	n	pillar / column				
514	514	door	门	n	door				
515	515	threshold	门坎	n	threshold				
516	516	door (front) / door (entrance)	大门	n	door (front) / door (entrance)				
517	517	window	窗子	n	window				
518	518	beam (of building)	梁	n	beam (of building) (small)||beam (of building)||beam (of building) (big)	beam (of building) (big) (note:+large) n||beam (of building) (small) (note:+small) n	梁 (大~)||梁 (小~)		
519	519	rafter (of building)	椽子	n	rafter (of building)||flight of steps				
520	520	flight of steps	台阶	n	flight of steps				
521	521	fence (bamboo / twig)	篱笆	n	fence (bamboo / twig)				
522	522	garden (plot)	园子	n	garden (plot)				
523	523	thing	东西	n	thing				
524	524	table (word used by elderly) (note:younger{language})	桌子 ((青年语))	n	table||table (word used by younger people)||table (word used by elderly)	table (word used by younger people) (note:elderly{language}) n||table n	桌子 ((老人语))||桌子		
525	525	stool / bench	凳子	n	stool / bench				
526	526	bed	床	n	bed||bed (without bedding)||bed (with bedding)	bed (without bedding) (note:+made) n||bed (with bedding) (note:-made) n	床 ((有铺盖的)~)||床 ((没铺盖的)~)		
527	527	chest / box / trunk	箱子	n	chest / box / trunk				
528	528	cupboard / cabinet	柜子	n	cupboard / cabinet				
529	529	box / case	盒子	n	cupboard, cabinet||box / case				
530	530	soap	肥皂	n	soap				
531	531	mirror	镜子	n	mirror				
532	532	broom	扫帚	n	broom				
533	533	light / lamp	灯	n	light / lamp (pine torch)||light / lamp||light / lamp (butter)||light / lamp (oil)	light / lamp (butter) (note:+pine) n||light / lamp (pine torch) (note:+butter) n||light / lamp (oil) (note:+oil) n	灯 (松明)||灯 (酥油~)||灯 (油~)		
534	534	firewood	柴	n	firewood			10	FIREWOOD
535	535	charcoal (live)	火炭(燃着的炭)	n	charcoal (live)||charcoal (live) (burned out by wood)	charcoal (live) (burned out by wood) n	火炭(燃着的炭) ((木头燃尽的火炭))		
536	536	flint	火石	n	flint				
537	537	tinder	火绒	n	tinder				
538	538	steel (for flint)	火镰	n	steel (for flint)				
539	539	match	火柴	n	match				
540	540	torch	火把	n	torch				
541	541	joss stick / incense	香(烧的~)	n	joss stick / incense				
542	542	garbage / rubbish	垃圾	n	garbage / rubbish				
543	543	dye (stuff)	染料	n	dye (stuff)				
544	544	stove (cooking) / range (kitchen)	灶	n	wok (large, iron) / pan||stove (cooking) / range (kitchen)				
545	545	wok (large, iron) / pan	铁锅	n	wok (large, iron) / pan				
546	546	wok (frying)	炒菜锅	n	wok (frying)				
547	547	lid / cover	盖子	n	lid / cover				
548	548	steamer (rice) (note:+bottle)	蒸笼 (瓶子)	n	steamer (rice)||steamer (of bamboo, for food)	steamer (of bamboo, for food) n	蒸笼		
549	549	knife (long) (note:+long)	刀 (长~)	n	knife||knife (long)	knife n	刀		
550	550	handle (specifically of a knife) (note:+knife)	把儿(刀~) (刀~)	n	handle (of a knife)||handle (specifically of a knife)	handle (of a knife) n	把儿(刀~)		
551	551	ladle (bamboo) (note:+iron)	勺子 (铁~)	n	ladle (bamboo)||ladle||ladle (iron)	ladle (iron) (note:+bamboo) n||ladle n	勺子 (竹~)||勺子		
552	552	spoon	匙(调羹)	n	ladle||spoon				
553	553	bowl (tea) (note:+tea)	碗 (茶~)	n	bowl||bowl (wooden)||bowl (tea)||bowl (porcelain)	bowl (porcelain) (note:+ceramic) n||bowl n||bowl (wooden) (note:+wood) n	碗 (瓷~)||碗||碗 (木~)		
554	554	plate / dish	盘子	n	plate / dish				
555	555	chopsticks (term used by old people) (note:younger{language})	筷子 ((青年语))	n	chopsticks||chopsticks (term used by younger people)||chopsticks (term used by old people)	chopsticks (term used by younger people) (note:elderly{language}) n||chopsticks n	筷子 ((老人语))||筷子		
556	556	bottle	瓶子	n	bottle				
557	557	pot / jar / tin	罐子	n	pot / jar / tin (big)||bottle||pot / jar / tin (earthenware)||pot / jar / tin (water)||pot / jar / tin (copper)||pot / jar / tin	pot / jar / tin (water) n||pot / jar / tin (copper) n||pot / jar / tin (earthenware) n||pot / jar / tin (big) n	罐子 (铜罐)||罐子 (水罐)||罐子 (瓦罐)||罐子		
558	558	jar (earthen)	坛子	n	jar (earthen)				
559	559	kettle / pot (glossy porcelain)	壶 ((一般的)~)	n	kettle / pot||kettle / pot (generic term)||kettle / pot (glossy porcelain)	kettle / pot (generic term) n||kettle / pot n	壶 ((光滑的)瓷~)||壶		
560	560	vat / jar	缸	n	vat / jar||vat / jar (copper)||kettle / pot||vat / jar (pottery / earthenware)||vat / jar (stone)	vat / jar (pottery / earthenware) (note:+stone) n||vat / jar (stone) (note:+copper) n||vat / jar (copper) (note:+pottery) n	缸 (石~)||缸 (铜~)||缸 (陶~)		
561	561	bucket	水桶	n	bucket (for carrying water on back)||bucket (red copper)||bucket	bucket (red copper) n||bucket (for carrying water on back) n	水桶 (柴铜~)||水桶 (背水~)		
562	562	tray (wooden)	木盆	n	tray (wooden)				
563	563	hoop / band	箍儿	n	hoop / band (iron)||hoop / band||hoop / band (bamboo)	hoop / band (iron) (note:+iron) n||hoop / band (bamboo) (note:+bamboo) n	箍儿 (铁~)||箍儿 (竹~)		
564	564	ladle (gourd) / dipper (calabash) (note:+copper)	瓢 (铜~)	n	ladle (gourd) / dipper (calabash)||ladle (gourd) / dipper (wooden)||ladle (gourd) / dipper (copper)||wooden tray	ladle (gourd) / dipper (copper) (note:+wooden) n||ladle (gourd) / dipper (wooden) n	瓢 (木~)||瓢		
565	565	trivet	三脚架	n	trivet				
566	566	tongs (fire)	火钳	n	tongs (fire)				
567	567	tube (sheepskin pantsleg) for blowing on a fire	吹火筒 (羊皮风装)	n	tube (bamboo) for blowing on a fire||tube (sheepskin pantsleg) for blowing on a fire	tube (bamboo) for blowing on a fire n	吹火筒		
568	568	section of bamboo used as container (for water) (note:+water)	竹筒 ((装水用的)~)	n	sect. of bamboo used as cont. (rice, salt, liquor)||sect. of bamboo used as cont. (to serve tea in)||section of bamboo used as container (for water)||section of bamboo used as container	section of bamboo used as container n||sect. of bamboo used as cont. (rice, salt, liquor) (note:+tea) n||sect. of bamboo used as cont. (to serve tea in) n	竹筒||竹筒 ((打茶用的)~)||竹筒 ((装米,盐,酒用的)~)		
569	569	piece of cloth with straps for carrying a toddler	背带(背小孩用)	n	piece of cloth w.s.f.c.a.t. (piece of its outside)||piece of cloth w.s.f.c.a.t. (piece of its inside)||piece of cloth with straps for carrying a toddler	piece of cloth w.s.f.c.a.t. (piece of its outside) n||piece of cloth w.s.f.c.a.t. (piece of its inside) n	背带(背小孩用) ((指背带外面的一块))||背带(背小孩用) ((指背带里面的一块))		
570	570	steelyard / scales (small) (note:+small)	秤 (小~)	n	steelyard / scales||steelyard / scales (big)||steelyard / scales (small)	steelyard / scales n||steelyard / scales (big) (note:+large) n	秤||秤 (大~)		
571	571	container for measuring grain (=1 decaliter)	斗	n	container for measuring grain (=1 decaliter)				
572	572	container (measuring, 1-liter-volume)	升	n	container (measuring, 1-liter-volume)				
573	573	money (lit. 'conch shell') (note:"shells")	钱(货币) ("贝壳")	n	money (lit. 'paper money')||money||money (lit 'paper money')||money (lit. 'silver')||money (lit. 'conch shell')||money (lit. 'copper coin')	money (lit. 'silver') (note:"silver") n||money n||money (lit. 'copper coin') (note:"coins") n||money (lit. 'paper money') (note:{Indian loan}) n||money (lit 'paper money') (note:"bills") n	钱(货币) ("银子")||钱(货币)||钱(货币) ("铜板")||钱(货币) ((印地语借词))||钱(货币) ("纸币")		
574	574	capital / principal	本钱	n	capital / principal				
575	575	goods / merchandise	货物	n	goods / merchandise||interest (financial)				
576	576	interest (financial)	利息	n	interest (financial)				
577	577	ruler (measure)	尺子	n	ruler (measure)				
578	578	needle	针	n	needle			1382	NEEDLE (FOR SEWING)
579	579	awl	锥子	n	awl				
580	580	nail / tack	钉子	n	nail / tack				
581	581	scissors	剪子	n	scissors				
582	582	ladder	梯子	n	ladder				
583	583	umbrella (lit. 'cloth hat') (note:"cloth hat")	伞 ("布帽子")	n	umbrella||umbrella (lit. 'cloth hat')	umbrella n	伞		
584	584	lock	锁	n	lock				
585	585	key	钥匙	n	key				
586	586	rod / stick	棍子	n	rod / stick			1295	STICK
587	587	wheel	轮子	n	wheel				
588	588	saddle	马鞍	n	saddle				
589	589	halter / bridle	马笼头	n	halter / bridle				
590	590	bellyband	马肚带	n	bellyband (front part of belly)||bellyband	bellyband (front part of belly) n	马肚带 (前肚带)		
591	591	bit (for horse)	马嚼子	n	bit (for horse)				
592	592	stirrup	马蹬子	n	stirrup				
593	593	horseshoe	马掌	n	horseshoe				
594	594	manger	马槽	n	manger				
595	595	crupper-strap	后鞦	n	crupper-strap||manger				
596	596	reins	缰绳	n	reins				
597	597	whip (for urging a cow) (note:+horse)	鞭子 ((赶马用的)~)	n	whip (for urging a cow)||whip||whip (for urging a horse)	whip (for urging a horse) (note:+cow) n||whip n	鞭子 ((赶牛用的)~)||鞭子		
598	598	rack (pack)	驮架	n	rack (pack)||whip				
599	599	yoke	牛轭	n	yoke				
600	600	ring in cow's nose used to lead it about	牛鼻圈	n	ring in cow's nose used to lead it about				
