	NUMBER	GLOSS	Huang_Chinese	English_Macy_edit	English	Huang_STEDT_English	English_by_concepticon	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
0	Chen-2013-888-1	天	天	sky	sky	sky	sky	1732	SKY	2	
1	Chen-2013-888-2	太阳	太阳	sun	sun	sun	sun	1343	SUN	2	
2	Chen-2013-888-3	月亮	月亮	moon	moon	moon	moon	1313	MOON	2	
3	Chen-2013-888-4	星星	星星	star	star	star	star	1430	STAR	2	
4	Chen-2013-888-5	云	云	cloud	cloud	cloud	cloud	1489	CLOUD	2	
5	Chen-2013-888-6	虹	虹	rainbow	rainbow	rainbow	rainbow	1733	RAINBOW	2	
6	Chen-2013-888-7	雷	雷	thunder	thunder	thunder	thunder	1150	THUNDER	2	
7	Chen-2013-888-8	闪	闪电	lightning			lightning	1654	LIGHTNING		
8	Chen-2013-888-9	风	缠(~线)	wind	wind	wind	wind (thread onto a	960	WIND	2	
9	Chen-2013-888-10	雨	雨	rain	rain	rain	rain	658	RAIN (PRECIPITATION)	2	
10	Chen-2013-888-11	雪	雪	snow	snow	snow	snow	784	SNOW	2	
11	Chen-2013-888-12	露水	露水	dew	dew	dew	dew	1977	DEW	2	
12	Chen-2013-888-13	霜	霜	frost	frost	frost	frost	2034	FROST	2	
13	Chen-2013-888-14	火	火	fire	fire	fire	fire	221	FIRE	2	
14	Chen-2013-888-15	灰	草木灰	ash			plant ash	646	ASH	2	
15	Chen-2013-888-16	烟	熏	smoke / fumigate			smoke / fumigate	778	SMOKE (EXHAUST)	2	
16	Chen-2013-888-17	扬尘		dust							
17	Chen-2013-888-18	地	地	earth / ground	earth / ground	earth / ground	earth / ground	2159	GROUND	2	
18	Chen-2013-888-19	山	山	hill / mountain	hill / mountain	hill / mountain	hill / mountain	639	MOUNTAIN	2	
19	Chen-2013-888-20	洞	洞	cave / hole	cave / hole	cave / hole	cave / hole	1667	HOLE	2	洞 is hole, 山洞 is cave, this gloss is written on the page along with  山 and 河, I assume it means cave, but since the gloss is only 洞, I translate it as hole 
20	Chen-2013-888-21	河	河 (大~)	river			river (big) (note:+big)	666	RIVER	2	
21	Chen-2013-888-22	池塘	池塘	pond	pond	pond	pond	2035	POND	2	
22	Chen-2013-888-23	沟	沟	ditch / gully	ditch / gully	ditch / gully	ditch / gully	2002	DITCH	4	
23	Chen-2013-888-24	井	井	well	well	well	well	954	WELL	2	
24	Chen-2013-888-25	路	路	road	road	road	road	667	ROAD	2	
25	Chen-2013-888-26	水田		paddy field	paddy field	paddy fields||paddy field		140	PADDY FIELD	2	
26	Chen-2013-888-27	旱地	地(田~) (刀耕~)	fields			fields (wheat etc., slashed) (note:+plowed)	212	FIELD	2	
27	Chen-2013-888-28	石头	块(一~石头)	stone	stone	stone	classifier for rocks, stones	857	STONE	2	
28	Chen-2013-888-29	沙子	沙子	sand	sand	sand	sand	671	SAND	2	
29	Chen-2013-888-30	泥巴	泥巴	mud	mud	mud	mud	640	MUD		
30	Chen-2013-888-31	水	开水	water	water	water (in a river, well)||water (in a vessel)||water	water (boiled)	948	WATER	2	
31	Chen-2013-888-32	铁	铁	iron	iron	iron	iron	621	IRON	2	
32	Chen-2013-888-33	煤	煤	coal	coal	coal	coal	2658	COAL	2	
33	Chen-2013-888-34	村寨	村子	village			village	930	VILLAGE	2	
34	Chen-2013-888-35	集市		market				633	MARKET	2	
35	Chen-2013-888-36	桥	桥 ((*的)~)	bridge			bridge (vine)	1011	BRIDGE	2	
36	Chen-2013-888-37	坟墓	坟	tomb			tomb	1773	GRAVE	2	
37	Chen-2013-888-38	菜园	园子	garden (plot)			garden (plot)	586	GARDEN	2	
38	Chen-2013-888-39	篱笆	篱笆	fence (bamboo / twig)	fence (bamboo / twig)	fence (bamboo / twig)	fence (bamboo / twig)	1690	FENCE		
39	Chen-2013-888-40	人	人	human being	human being	human being	human being	683	PERSON	2	
40	Chen-2013-888-41	汉族		Han							add HAN
41	Chen-2013-888-42	族称		tribal name							
42	Chen-2013-888-43	小孩		child				2099	CHILD		
43	Chen-2013-888-44	老头儿	老头儿	old man	old man	old man	old man	406	OLD MAN		
44	Chen-2013-888-45	老太太	老太太	old lady	old lady	old lady	old lady	907	OLD WOMAN		
45	Chen-2013-888-46	姑娘	姑娘	girl	girl	girl	girl	1646	GIRL		
46	Chen-2013-888-47	瞎子	瞎子 ((双眼)~)				blind person (one eye) (note:+both_eyes)	457	BLIND PERSON	2	
47	Chen-2013-888-48	跛子	跛子	lame person	lame person	lame person	lame person	2322	LAME PERSON	2	
48	Chen-2013-888-49	聋子	聋子	deaf person	deaf person	deaf person	deaf person	458	DEAF PERSON	2	
49	Chen-2013-888-50	麻子									add POCKMARK
50	Chen-2013-888-51	哑巴		mute				1666	MUTE	2	
51	Chen-2013-888-52	孤儿	孤儿	orphan	orphan	orphan	orphan	1149	ORPHAN		
52	Chen-2013-888-53	独子		only son							
53	Chen-2013-888-54	客人	客人	guest	guest	guest	guest	1782	GUEST	2	
54	Chen-2013-888-55	朋友	朋友 ((男朋友互称))	friend			friend (male-to-male) (note:+male-male)	1325	FRIEND	2	
55	Chen-2013-888-56	木匠	木匠	carpenter	carpenter	carpenter	carpenter	1042	CARPENTER	2	
56	Chen-2013-888-57	贼	贼	thief	thief	thief	thief	1160	THIEF		
57	Chen-2013-888-58	名字	名字	name	name	name	name	1405	NAME	2	
58	Chen-2013-888-59	年纪	年纪	age	age	age	age	1789	AGE		
59	Chen-2013-888-60	影子	影子	shadow	shadow	shadow	shadow	1388	SHADE	2	
60	Chen-2013-888-61	力气	力气	strength (physical)	strength (physical)	strength (physical)	strength (physical)	202	STRENGTH	2	
61	Chen-2013-888-62	鬼	鬼	ghost / spirit	ghost / spirit	ghost / spirit	ghost / spirit	1175	GHOST	2	
62	Chen-2013-888-63	祖父	爷爷 ((对称))	grandfather (address) (note:+address)			grandfather (address) (note:+address)	1383	GRANDFATHER	2	
63	Chen-2013-888-64	祖母	奶奶 (亲~)	grandmother (address) (note:?)			grandmother (address) (note:?)	1496	GRANDMOTHER	2	
64	Chen-2013-888-65	父亲	父亲 ((引称))	father (reference) (note:+citation)			father (reference) (note:+citation)	1217	FATHER	2	
65	Chen-2013-888-66	母亲	母亲 ((引称))	mother (reference) (note:+citation)			mother (reference) (note:+citation)	1216	MOTHER	2	
66	Chen-2013-888-67	儿子	儿子 ((一般称谓))	son (intimate) (note:+citation)			son (intimate) (note:+citation)	1620	SON	2	
67	Chen-2013-888-68	儿媳	媳妇(儿~) ((引称))	daughter-in-law (address) (note:+citation)			daughter-in-law (address) (note:+citation)	1057	DAUGHTER-IN-LAW	2	
68	Chen-2013-888-69	女儿	女儿	daughter	daughter	daughter	daughter	1357	DAUGHTER	2	
69	Chen-2013-888-70	女婿	女婿 ((上门)~)	son-in-law			son-in-law (doesn't come calling) (note:+married_in)	1056	SON-IN-LAW	2	
70	Chen-2013-888-71	孙子	孙子	grandson	grandson	grandson	grandson	1618	GRANDSON	2	
71	Chen-2013-888-72	哥哥	哥哥	elder brother	elder brother	elder brother (reference by y. sister)||elder brother (reference)||elder brother (addressed by y. brother)||elder brother (addressed by y. sister)||elder brother (address)||elder brother||elder brother (reference by y. brother)	elder brother	1759	OLDER BROTHER	2	
72	Chen-2013-888-73	姐姐		elder sister				1758	OLDER SISTER	2	
73	Chen-2013-888-74	弟弟	弟弟	younger brother (address)	younger brother (address)	younger brother (address by o. sister)||younger brother (address by o. brother)||younger brother (reference)||younger brother (addressby o. sister)||younger brother (address)||younger brother	younger brother (address)	1760	YOUNGER BROTHER	2	
74	Chen-2013-888-75	妹妹		younger sister				1761	YOUNGER SISTER	2	
75	Chen-2013-888-76	嫂子		sister-in-law	sister-in-law			2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)	2	
76	Chen-2013-888-77	舅父	舅父	uncle (mother’s borther)	uncle (mother’s borther)		uncle (mother’s borther)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	2	
77	Chen-2013-888-78	舅母	"姨母 (同""舅母"")"	aunt (mother’s brother’s wife)	aunt (mother’s brother’s wife)		"aunt (mother's sister}} (= wife of mom's bro) (note:""mother's_brother's_wife"")"	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	2	
78	Chen-2013-888-79	丈夫	丈夫 ((引称))	husband (address) (note:+citation)			husband (address) (note:+citation)	1200	HUSBAND	2	
79	Chen-2013-888-80	妻子	妻子 ((引称))	wife (address) (note:+citation)			wife (address) (note:+citation)	1199	WIFE	2	
80	Chen-2013-888-81	身体	身体 (前身)	body (front) (note:+front)			body (front) (note:+front)	1480	BODY	2	
81	Chen-2013-888-82	头	头	head	head	head	head	1256	HEAD	2	
82	Chen-2013-888-83	头发		head hair	hair	hair		2648	HAIR (HEAD)	2	
83	Chen-2013-888-84	辫子	编(~辫子)	plait			plait	333	PLAIT	2	
84	Chen-2013-888-85	眉毛	眉毛	eyebrow	eyebrow	eyebrow	eyebrow	1173	EYEBROW	2	
85	Chen-2013-888-86	眼睛	眼睛	eye	eye	eye	eye	1248	EYE	2	
86	Chen-2013-888-87	鼻子	鼻子	nose	nose	nose	nose	1221	NOSE	2	
87	Chen-2013-888-88	耳朵	耳朵	ear	ear	ear	ear	1247	EAR	2	
88	Chen-2013-888-89	脸	脸 (一画)	face			face (self-respect)	1560	FACE	2	
89	Chen-2013-888-90	嘴，口	嘴 (口)	mouth (opening) (note:mouth  |  opening)			mouth (opening) (note:mouth  |  opening)	674	MOUTH		
90	Chen-2013-888-91	胡须	连鬓胡	beard			beard	678	BEARD		
91	Chen-2013-888-92	下巴	下巴	chin	chin	chin	chin	1510	CHIN	2	
92	Chen-2013-888-93	脖子	脖子 (颈部)	neck (back of, hindneck, nape) (note:+front)			neck (back of, hindneck, nape) (note:+front)	1333	NECK	2	
