ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	STRUCTURE	ALIGNMENT	TOKENS	CROSSIDS
10353	luobuoheeastern-Chen-2013-888-428-1		luobuoheeastern	Chen-2013-888-428	ʔi⁵⁵	ʔi⁵⁵	ʔ i ⁵⁵		Chen2013			一	1493	ONE	Luobuohe, Eastern	luop1235					luobuoheeastern	一	ʔi⁵⁵	1 7 8	AXT	HI5	7	7.H.C 7.I.V 7.5.T	1.6 3.0 1.0	0	1	i n t	ʔ i ⁵⁵	ʔ i ⁵⁵	618
10354	luobuohewestern-Chen-2013-888-428-1		luobuohewestern	Chen-2013-888-428	ʔi³⁵	ʔi³⁵	ʔ i ³⁵		Chen2013			一	1493	ONE	Luobuohe, Western	luop1235					luobuohewestern	一	ʔi³⁵	1 7 8	AXT	HI2	8	8.H.C 8.I.V 8.2.T	1.6 3.0 1.0	0	1	i n t	ʔ i ³⁵	ʔ i ³⁵	618
10355	chuanqiandian-Chen-2013-888-428-1		chuanqiandian	Chen-2013-888-428	ʔi⁴³	ʔi⁴³	ʔ i ⁴³		Chen2013			一	1493	ONE	Chuanqiandian	chua1256					chuanqiandian	一	ʔi⁴³	1 7 8	AXT	HI3	3	3.H.C 3.I.V 3.3.T	1.6 3.0 1.0	1	1	i n t	ʔ i ⁴³	ʔ i ⁴³	618
10356	chuanqiandiancentralguizhou-Chen-2013-888-428-1		chuanqiandiancentralguizhou	Chen-2013-888-428	ʔi²⁴	ʔi²⁴	ʔ i ²⁴		Chen2013			一	1493	ONE	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	一	ʔi²⁴	1 7 8	AXT	HI2	4	4.H.C 4.I.V 4.2.T	1.6 3.0 1.0	0	1	i n t	ʔ i ²⁴	ʔ i ²⁴	618
10357	chuanqiandiansouthernguizhou-Chen-2013-888-428-1		chuanqiandiansouthernguizhou	Chen-2013-888-428	ʔei³²	ʔei³²	ʔ ei ³²		Chen2013			一	1493	ONE	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	一	ʔei³²	1 7 8	AXT	HE3	6	6.H.C 6.E.V 6.3.T	1.6 3.0 1.0	0	1	i n t	ʔ ei ³²	ʔ ei ³²	618
10358	chuanqiandiannortheastyunnan-Chen-2013-888-428-1		chuanqiandiannortheastyunnan	Chen-2013-888-428	ʔi⁵⁵	ʔi⁵⁵	ʔ i ⁵⁵		Chen2013			一	1493	ONE	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	一	ʔi⁵⁵	1 7 8	AXT	HI5	5	5.H.C 5.I.V 5.5.T	1.6 3.0 1.0	0	1	i n t	ʔ i ⁵⁵	ʔ i ⁵⁵	618
10362	qiandongeast-Chen-2013-888-428-1		qiandongeast	Chen-2013-888-428	ʔi²⁴	ʔi²⁴	ʔ i ²⁴		Chen2013			一	1493	ONE	Qiandong, East	east2370					qiandongeast	一	ʔi²⁴	1 7 8	AXT	HI2	9	9.H.C 9.I.V 9.2.T	1.6 3.0 1.0	0	1	i n t	ʔ i ²⁴	ʔ i ²⁴	618
10364	qiandongwest-Chen-2013-888-428-1		qiandongwest	Chen-2013-888-428	ʔi⁴⁴	ʔi⁴⁴	ʔ i ⁴⁴		Chen2013			一	1493	ONE	Qiandong, West						qiandongwest	一	ʔi⁴⁴	1 7 8	AXT	HI5	10	10.H.C 10.I.V 10.5.T	1.6 3.0 1.0	0	1	i n t	ʔ i ⁴⁴	ʔ i ⁴⁴	618
10365	bahengwest-Chen-2013-888-428-1		bahengwest	Chen-2013-888-428	ji¹¹	ji¹¹	j i ¹¹		Chen2013			一	1493	ONE	Baheng, West	pahn1237					bahengwest	一	ji¹¹	6 7 8	AXT	JI1	2	2.J.C 2.I.V 2.1.T	1.6 3.0 1.0	0	2	m n t	j i ¹¹	j i ¹¹	2
10366	bahengeast-Chen-2013-888-428-1		bahengeast	Chen-2013-888-428	ʔi³⁵	ʔi³⁵	ʔ i ³⁵		Chen2013			一	1493	ONE	Baheng, East	pahn1237					bahengeast	一	ʔi³⁵	1 7 8	AXT	HI2	1	1.H.C 1.I.V 1.2.T	1.6 3.0 1.0	0	1	i n t	ʔ i ³⁵	ʔ i ³⁵	618
10503	luobuoheeastern-Chen-2013-888-434-1		luobuoheeastern	Chen-2013-888-434	zuŋ²⁴	zuŋ²⁴	z u ŋ ²⁴		Chen2013			七	1704	SEVEN	Luobuohe, Eastern	luop1235					luobuoheeastern	七	zuŋ²⁴	3 7 4 8	AXLT	SYN2	7	7.S.C 7.Y.V 7.N.c 7.2.T	1.6 3.0 1.1 1.0	0	3	i n c t	z u ŋ ²⁴	z u ŋ ²⁴	3
10504	luobuohewestern-Chen-2013-888-434-1		luobuohewestern	Chen-2013-888-434	zoŋ³⁵	zoŋ³⁵	z o ŋ ³⁵		Chen2013			七	1704	SEVEN	Luobuohe, Western	luop1235					luobuohewestern	七	zoŋ³⁵	3 7 4 8	AXLT	SUN2	8	8.S.C 8.U.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	0	3	i n c t	z o ŋ ³⁵	z o ŋ ³⁵	3
10505	chuanqiandian-Chen-2013-888-434-1		chuanqiandian	Chen-2013-888-434	ɕaŋ⁴⁴	ɕaŋ⁴⁴	ɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Chuanqiandian	chua1256					chuanqiandian	七	ɕaŋ⁴⁴	3 7 4 8	AXLT	SAN5	3	3.S.C 3.A.V 3.N.c 3.5.T	1.6 3.0 1.1 1.0	0	3	i n c t	ɕ a ŋ ⁴⁴	ɕ a ŋ ⁴⁴	3
10506	chuanqiandiancentralguizhou-Chen-2013-888-434-1		chuanqiandiancentralguizhou	Chen-2013-888-434	sã²²	sã²²	s ã ²²		Chen2013			七	1704	SEVEN	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	七	sã²²	3 7 8	AXT	SA1	4	4.S.C 4.A.V 4.1.T	1.6 3.0 1.0	0	3	i n t	s ã - ²²	s ã ²²	3
10507	chuanqiandiansouthernguizhou-Chen-2013-888-434-1		chuanqiandiansouthernguizhou	Chen-2013-888-434	tɕaŋ¹³	tɕaŋ¹³	tɕ a ŋ ¹³		Chen2013			七	1704	SEVEN	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	七	tɕaŋ¹³	2 7 4 8	AXLT	CAN2	6	6.C.C 6.A.V 6.N.c 6.2.T	1.6 3.0 1.1 1.0	0	3	i n c t	tɕ a ŋ ¹³	t ɕ a ŋ ¹³	3
